Ticket_ID,Issue_Resolution,Issue_Category,Issue_Severity,Support_Channel,Building,City,Position,Country,Tenure_Months,Career_Desc,Division
43254, User Education,Apps,Sev3,Chat,HOME OFFICE,Abbeville,Relationship Management,US ,86,IC4,D006433
37812, User Education,Apps,Sev2,Email,B0834,Abidjan,Account Management,CI ,65,IC5,D007762
52549, User Education,Apps,Sev2,Chat,B0834,Abidjan,Relationship Management,CI ,67,IC4,D007762
66090, User Education,Apps,Sev2,Email,MOBILE,Abu Dhabi,Relationship Management,AE ,20,IC4,D012072
59343, User Education,Apps,Sev2,Email,MOBILE,Abu Dhabi,Relationship Management,AE ,21,IC4,D012072
79782, User Education,Apps,Sev1,Chat,MOBILE,Adelaide,Relationship Management,AU ,27,IC3,D009170
2597, User Education,Apps,Sev3,Chat,B0575,Almaty,Marketing,KZ ,9,IC4,D009202
61482,,Apps,Sev2,Chat,B0602,Alpharetta,Business Operations,US ,88,MGR3,D006433
74390, User Education,Apps,Sev2,Email,MOBILE,Alpharetta,Relationship Management,US ,72,IC3,D006433
80271, User Education,Apps,Sev2,Phone,MOBILE,Alpharetta,Solution Sales,US ,14,IC5,D006433
42884, User Education,Apps,Sev1,Chat,MOBILE,Alpharetta,Account Management,US ,124,IC4,D006433
30374, User Education,Help,Sev3,Email,MOBILE,Alpharetta,Technical Delivery,US ,13,IC5,D006433
53076, User Education,Apps,Sev2,Email,MOBILE,Alpharetta,Marketing,US ,69,IC4,D006433
55865, User Education,Phone,Sev2,Email,B0602,Alpharetta,Business Operations,US ,141,IC3,D006433
77993, User Education,Apps,Sev2,Email,B0602,Alpharetta,Solution Sales,US ,39,MGR3,D006433
62651, User Education,Apps,Sev1,Chat,B0602,Alpharetta,Solution Sales,US ,37,MGR3,D006433
47041, User Education,Apps,Sev2,Chat,B0991,Amman,Support Engineering,JO ,16,IC3,D019428
48063, User Education,Apps,Sev2,Chat,B0991,Amman,Relationship Management,JO ,17,IC4,D019428
55187, User Education,Apps,Sev3,Email,MOBILE,Amman,Licensing,JO ,125,IC4,D019428
69472, User Education,Apps,Sev2,Chat,B0991,Amman,Support Delivery,JO ,9,IC3,D019428
48735, User Education,Apps,Sev2,Chat,B0991,Amman,Sales Leadership,JO ,235,MGR4,D019428
63504, User Education,Apps,Sev3,Email,B0991,Amman,Sales,JO ,56,MGR3,D019428
46424, User Education,Apps,Sev3,Email,MOBILE,Amman,Licensing,JO ,130,IC4,D019428
1121, User Education,Apps,Sev1,Chat,B0991,Amman,Support Engineering,JO ,109,MGR3,D019428
372, User Education,Apps,Sev2,Email,MOBILE,Annapolis Junction,Support Delivery,US ,122,IC4,D006433
15181, User Education,Apps,Sev2,Chat,MOBILE,Annapolis Junction,Support Delivery,US ,9,IC3,D006433
74848, User Education,Apps,Sev3,Chat,HOME OFFICE,APO,Support Delivery,US ,265,IC4,D006433
68209, User Education,Apps,Sev2,Email,HOME OFFICE,Arlington,Technology Strategy,US ,43,IC4,D006433
30367, User Education,Apps,Sev3,Phone,HOME OFFICE,Arlington,Account Management,US ,65,IC3,D006433
67720, User Education,Apps,Sev1,Chat,HOME OFFICE,Arnold,Support Delivery,US ,39,IC3,D006433
81268, User Education,Apps,Sev1,Chat,HOME OFFICE,Ashburn,Technical Delivery,US ,90,IC4,D006433
36402, User Education,Apps,Sev1,Chat,B0772,Astana,Relationship Management,KZ ,22,IC4,D009202
18011, User Education,Apps,Sev2,Email,MOBILE,Athens,Account Management,GR ,75,IC4,D003670
68255, User Education,Apps,Sev1,Chat,B0633,Athens,Technical Delivery,GR ,35,IC4,D003670
4771, User Education,Apps,Sev1,Chat,B0633,Athens,Relationship Management,GR ,12,IC2,D003670
48932, User Education,Apps,Sev3,Email,MOBILE,Athens,Finance,GR ,33,IC4,D003670
2312, User Education,Apps,Sev2,Email,MOBILE,Athens,Account Management,GR ,74,IC4,D003670
32780, User Education,Apps,Sev2,Chat,MOBILE,Athens,Relationship Management,GR ,21,IC2,D003670
753, User Education,Apps,Sev3,Chat,MOBILE,Athens,Marketing,GR ,139,IC4,D003670
2898, User Education,Apps,Sev2,Email,MOBILE,Athens,Account Management,GR ,12,IC4,D003670
72946, User Education,Apps,Sev2,Email,MOBILE,Athens,Relationship Management,GR ,13,IC4,D003670
53103,,Apps,Sev2,Email,B1007,Atlanta,Support Engineering,US ,22,IC3,D006433
633, User Education,Apps,Sev1,Chat,MOBILE,Atlanta,Support Delivery,US ,9,IC2,D006433
6627, User Education,Apps,Sev3,Phone,B1007,Atlanta,Support Engineering,US ,5,IC3,D006433
53018, User Education,Apps,Sev1,Chat,HOME OFFICE,Atlanta,Technical Delivery,US ,9,IC4,D006433
76881, User Education,Apps,Sev3,Email,MOBILE,Atlanta,Licensing,US ,206,IC4,D006433
65694, User Education,Apps,Sev1,Chat,B1007,Atlanta,Business Operations,US ,214,MGR4,D006433
65714, User Education,Help,Sev3,Phone,B0635,Atlanta,Technical Delivery,US ,191,IC4,D006433
1504, User Education,Apps,Sev2,Chat,MOBILE,Atlanta,Technical Delivery,US ,7,IC2,D006433
7712, User Education,Apps,Sev2,Chat,B1007,Atlanta,Support Engineering,US ,215,IC5,D006433
6130, User Education,Apps,Sev2,Phone,B0635,Atlanta,Relationship Management,US ,297,IC4,D006433
78322, User Education,Apps,Sev2,Chat,B1007,Atlanta,Support Engineering,US ,206,IC4,D006433
50966, User Education,Apps,Sev2,Chat,MOBILE,Atlanta,Relationship Management,US ,61,IC2,D006433
81197, User Education,Apps,Sev2,Chat,MOBILE,Atlanta,Technical Delivery,US ,5,IC2,D006433
57409, User Education,Apps,Sev1,Chat,B1007,Atlanta,Support Engineering,US ,270,IC4,D006433
49074, User Education,Apps,Sev1,Chat,B1007,Atlanta,Support Engineering,US ,228,MGR3,D006433
6894, User Education,Apps,Sev1,Chat,B0635,Atlanta,Technical Delivery,US ,5,IC2,D006433
52093, User Education,Apps,Sev3,Chat,B0635,Atlanta,Relationship Management,US ,65,IC4,D006433
64411, User Education,Apps,Sev2,Email,MOBILE,Atlanta,Technology Strategy,US ,193,IC5,D006433
81905, User Education,Apps,Sev2,Phone,B0635,Atlanta,Solution Sales,US ,68,IC4,D006433
52737, User Education,Apps,Sev3,Phone,B0635,Atlanta,Relationship Management,US ,33,IC3,D006433
